DATE                      R50                 R100                R200
2016-06-28  3.170454502106E-01  4.382901787758E-01                 NaN
2016-06-29  3.867121040821E-01  4.942942857742E-01                 NaN
2016-06-30  4.687854647636E-01  5.329736471176E-01                 NaN
2016-07-01  4.900737404823E-01  5.473620891571E-01                 NaN
2016-07-05  4.319728016853E-01  4.898325502872E-01                 NaN
2016-07-06  4.569160938263E-01  5.182089805603E-01                 NaN
2016-07-07  4.668555259705E-01  5.166865587234E-01                 NaN
2016-07-08  5.855039358139E-01  5.895300507545E-01                 NaN
2016-07-11  6.342015862465E-01  6.189060807228E-01                 NaN
2016-07-12  6.902604699135E-01  6.613190770149E-01                 NaN
2016-07-13  6.681766510010E-01  6.411170363426E-01                 NaN
2016-07-14  6.845979690552E-01  6.528189778328E-01                 NaN
2016-07-15  6.874291896820E-01  6.619216799736E-01                 NaN
2016-07-18  6.966609954834E-01  6.605450510979E-01                 NaN
2016-07-19  6.804298758507E-01  6.477205157280E-01                 NaN
2016-07-20  6.968325972557E-01  6.585941910744E-01                 NaN
2016-07-21  6.896551847458E-01  6.540954709053E-01                 NaN
2016-07-22  6.943503022194E-01  6.521739363670E-01                 NaN
2016-07-25  6.851015686989E-01  6.500293612480E-01                 NaN
2016-07-26  6.882750988007E-01  6.487119197845E-01                 NaN
2016-07-27  6.997182965279E-01  6.678362488747E-01                 NaN
2016-07-28  6.739864945412E-01  6.557568907738E-01                 NaN
2016-07-29  6.632882952690E-01  6.530373692513E-01                 NaN
2016-08-01  6.612268090248E-01  6.489486098289E-01                 NaN
2016-08-02  6.004502177238E-01  6.100408434868E-01                 NaN
2016-08-03  6.312535405159E-01  6.312718987465E-01                 NaN
2016-08-04  6.216976046562E-01  6.257275938988E-01                 NaN
2016-08-05  6.814606785774E-01  6.658905744553E-01                 NaN
2016-08-08  6.646067500114E-01  6.517441868782E-01                 NaN
2016-08-09  6.516854166985E-01  6.536897420883E-01                 NaN
2016-08-10  6.275280714035E-01  6.329848766327E-01                 NaN
2016-08-11  6.391694545746E-01  6.424840688705E-01                 NaN
2016-08-12  6.446188092232E-01  6.425260901451E-01                 NaN
2016-08-15  6.715246438980E-01  6.616454124451E-01                 NaN
2016-08-16  6.408963799477E-01  6.456647515297E-01                 NaN
2016-08-17  6.380952596664E-01  6.325823068619E-01                 NaN
2016-08-18  6.616246700287E-01  6.558891534805E-01                 NaN
2016-08-19  6.498599648476E-01  6.432276368141E-01                 NaN
2016-08-22  6.621848940849E-01  6.512968540192E-01                 NaN
2016-08-23  6.801120638847E-01  6.612903475761E-01                 NaN
2016-08-24  6.554622054100E-01  6.440092325211E-01                 NaN
2016-08-25  6.476190686226E-01  6.488198041916E-01                 NaN
2016-08-26  6.373810768127E-01  6.382978558540E-01                 NaN
2016-08-29  6.543624401093E-01  6.451984047890E-01                 NaN
2016-08-30  6.554809808731E-01  6.513497829437E-01                 NaN
2016-08-31  6.271660327911E-01  6.404365301132E-01                 NaN
2016-09-01  6.294019222260E-01  6.374067664146E-01                 NaN
2016-09-02  6.502793431282E-01  6.580607891083E-01                 NaN
2016-09-06  6.661083102226E-01  6.764199733734E-01                 NaN
2016-09-07  6.737311482430E-01  6.847515702248E-01                 NaN
2016-09-08  6.815392971039E-01  6.900684833527E-01                 NaN
2016-09-09  5.520891547203E-01  6.252139210701E-01                 NaN
2016-09-12  5.966666936874E-01  6.611523032188E-01                 NaN
2016-09-13  5.099999904633E-01  6.094641089439E-01                 NaN
2016-09-14  4.980566203594E-01  6.131054162979E-01                 NaN
2016-09-15  5.388457179070E-01  6.284900307655E-01                 NaN
2016-09-16  5.407654047012E-01  6.306203603745E-01                 NaN
2016-09-19  5.559867024422E-01  6.450511813164E-01                 NaN
2016-09-20  5.479224324226E-01  6.401364207268E-01                 NaN
2016-09-21  5.836101770401E-01  6.554860472679E-01                 NaN
2016-09-22  6.328903436661E-01  6.930074095726E-01                 NaN
2016-09-23  6.101882457733E-01  6.719726920128E-01                 NaN
2016-09-26  5.564783811569E-01  6.475269794464E-01                 NaN
2016-09-27  5.692137479782E-01  6.522727012634E-01                 NaN
2016-09-28  5.874861478806E-01  6.556817889214E-01                 NaN
2016-09-29  5.265486836433E-01  6.136363744736E-01                 NaN
2016-09-30  5.793256163597E-01  6.499999761581E-01                 NaN
2016-10-03  5.561083555222E-01  6.384789943695E-01                 NaN
2016-10-04  5.351022481918E-01  6.262053251266E-01                 NaN
2016-10-05  5.638474225998E-01  6.358479857445E-01                 NaN
2016-10-06  5.554941892624E-01  6.171299219131E-01                 NaN
2016-10-07  5.231788158417E-01  6.003401279449E-01                 NaN
2016-10-10  5.535320043564E-01  6.215297579765E-01                 NaN
2016-10-11  4.853833317757E-01  5.813031196594E-01                 NaN
2016-10-12  4.600110352039E-01  5.597733855247E-01                 NaN
2016-10-13  4.016529023647E-01  5.407239794731E-01                 NaN
2016-10-14  3.869014978409E-01  5.245901346207E-01                 NaN
2016-10-17  3.690869212151E-01  5.107344388962E-01  6.182719469070E-01
2016-10-18  3.980208933353E-01  5.231638550758E-01  6.237077713013E-01
2016-10-19  4.079164266586E-01  5.231638550758E-01  6.239837408066E-01
2016-10-20  4.074684381485E-01  5.220338702202E-01  6.118904352188E-01
2016-10-21  3.946212828159E-01  5.079006552696E-01  6.116633415222E-01
2016-10-24  4.291986823082E-01  5.411499142647E-01  6.276316046715E-01
2016-10-25  4.034028649330E-01  5.135287642479E-01  6.095487475395E-01
2016-10-26  3.715696930885E-01  4.842164516449E-01  5.853976607323E-01
2016-10-27  3.331503868103E-01  4.532130658627E-01  5.720779299736E-01
2016-10-28  3.176083266735E-01  4.385569393635E-01  5.608020424843E-01
2016-10-31  3.263850808144E-01  4.453213214874E-01  5.643500685692E-01
2016-11-01  2.923752069473E-01  4.131905436516E-01  5.381165742874E-01
2016-11-02  2.446516752243E-01  3.799323439598E-01  5.121328234673E-01
2016-11-03  2.369720190763E-01  3.616901338100E-01  4.837683141232E-01
2016-11-04  2.484914958477E-01  3.656338155270E-01  4.930291473866E-01
2016-11-07  3.349780738354E-01  4.282498657703E-01  5.328697562218E-01
2016-11-08  3.448464870453E-01  4.325084388256E-01  5.327869057655E-01
2016-11-09  4.566885828972E-01  4.991568326950E-01  5.875315070152E-01
2016-11-10  4.939692914486E-01  5.297752618790E-01  6.128221154213E-01
2016-11-11  5.712719559669E-01  5.831460952759E-01  6.380713582039E-01
2016-11-14  5.893640518188E-01  5.979786515236E-01  6.506249904633E-01
2016-11-15  6.041666865349E-01  5.976430773735E-01  6.594022512436E-01
2016-11-16  6.052631735802E-01  6.021324396133E-01  6.606587767601E-01
2016-11-17  6.246575117111E-01  6.133557558060E-01  6.703772544861E-01
2016-11-18  6.246575117111E-01  6.087443828583E-01  6.666666865349E-01
2016-11-21  6.345205307007E-01  6.148686408997E-01  6.668723225594E-01
2016-11-22  6.361643671989E-01  6.148686408997E-01  6.660516858101E-01
2016-11-23  6.416438221931E-01  6.193404197693E-01  6.717791557312E-01
2016-11-25  6.719605922699E-01  6.422991156578E-01  6.801470518112E-01
2016-11-28  6.414887905121E-01  6.199776530266E-01  6.581040024757E-01
2016-11-29  6.345732808113E-01  6.114827394485E-01  6.560975313187E-01
2016-11-30  6.116876006126E-01  5.919732451439E-01  6.479902267456E-01
2016-12-01  5.736899375916E-01  5.598886013031E-01  6.234793066978E-01
2016-12-02  5.801526904106E-01  5.643454194069E-01  6.262136101723E-01
2016-12-05  6.152588725090E-01  5.927576422691E-01  6.426408290863E-01
2016-12-06  6.299727559090E-01  6.080178022385E-01  6.551724076271E-01
2016-12-07  6.410675644875E-01  6.080178022385E-01  6.600241661072E-01
2016-12-08  6.621327400208E-01  6.236079931259E-01  6.700844168663E-01
